name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,price
"Agave, cooked (Southwest)",100 g,135,0.3g,,0,13.00 mg,8.8 mg,3.00 mcg,0.00 mcg,0.162 mg,0.041 mg,0.099 mg,0.012 mg,113.00 IU,6.00 mcg,0.00 mcg,68.00 mcg,0.00 mcg,0,0,0.00 mcg,0.087 mg,0.3 mg,0.00 IU,0.36 mg,0.36 mg,4.9 mcg,460.00 mg,0.112 mg,3.55 mg,39.00 mg,0.142 mg,9.00 mg,59.00 mg,0.2 mcg,0.25 mg,0.99 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.00 g,10.6 g,20.87 g,17.57 g,0.00 g,1.58 g,0.00 g,0.00 g,1.72 g,0.29 g,0,0,0,0.00 mg,0.0 g,1.32 g,0.00 mg,0.00 mg,65.40 g,0.4389
"Crackers, rye, crispbread",100 g,366,1.3g,0.1g,0,410.00 mg,20.2 mg,47.00 mcg,25.00 mcg,1.040 mg,0.676 mg,0.145 mg,0.243 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,194.00 mcg,0,0.00 mcg,0.210 mg,0.0 mg,0.00 IU,0.81 mg,0.81 mg,6.0 mcg,31.00 mg,0.255 mg,2.43 mg,78.00 mg,2.475 mg,269.00 mg,319.00 mg,36.6 mcg,2.39 mg,7.90 g,0.342 g,0.366 g,0.564 g,0.155 g,2.160 g,0.310 g,0.179 g,0,0.318 g,0.556 g,0.300 g,0.121 g,0.403 g,0.822 g,0.431 g,0.285 g,0.092 g,0.168 g,0.404 g,82.20 g,16.5 g,1.07 g,0,0,0,0,0,0,1.30 g,0.145 g,0.165 g,0.557 g,0.00 mg,0.0 g,2.40 g,0.00 mg,0.00 mg,6.10 g,0.931
"SMART SOUP, French Lentil",100 g,53,1.1g,,0,131.00 mg,0,0,0,0,0,0,0,0,0,0,251.00 mcg,0,0,0,0,0,0.0 mg,0,0,0,0,23.00 mg,0,1.00 mg,0,0,0,0,0,0,2.90 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50 g,2.9 g,2.60 g,0,0,0,0,0,0,1.06 g,0.000 g,0,0,0.00 mg,0,1.10 g,0,0,85.50 g,0.6783
"Fast foods, plain, hotdog",100 g,247,15g,5.2g,45mg,684.00 mg,0,49.00 mcg,19.00 mcg,3.720 mg,0.520 mg,0.280 mg,0.240 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.52 mcg,0.050 mg,0.1 mg,0,0,0,0,24.00 mg,0.078 mg,2.36 mg,13.00 mg,0.093 mg,99.00 mg,146.00 mg,26.5 mcg,2.02 mg,10.60 g,0.598 g,0.666 g,0.872 g,0.147 g,2.385 g,0.646 g,0.295 g,0,0.453 g,0.769 g,0.641 g,0.199 g,0.417 g,0.765 g,0.481 g,0.360 g,0.098 g,0.282 g,0.483 g,18.40 g,0,0,0,0,0,0,0,0,14.84 g,5.213 g,6.993 g,1.741 g,45.00 mg,0,2.20 g,0,0,53.96 g,0.6916
"Smoked link sausage, pork",100 g,309,28g,9.3g,61mg,827.00 mg,61.1 mg,1.00 mcg,0.00 mcg,2.807 mg,0.536 mg,0.180 mg,0.212 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.66 mcg,0.179 mg,0.0 mg,43.00 IU,0.25 mg,0.25 mg,0.0 mcg,11.00 mg,0.176 mg,0.59 mg,11.00 mg,0.011 mg,157.00 mg,483.00 mg,18.3 mcg,1.31 mg,11.98 g,1.419 g,1.454 g,2.033 g,0.248 g,3.327 g,1.561 g,0.699 g,0.210 g,0.951 g,1.692 g,1.745 g,0.596 g,0.848 g,1.121 g,0.919 g,0.929 g,0.216 g,0.699 g,1.068 g,0.94 g,0.0 g,0.94 g,0.00 g,0.00 g,0.70 g,0.00 g,0.00 g,0.24 g,28.23 g,9.313 g,11.212 g,3.626 g,61.00 mg,0.0 g,3.11 g,0.00 mg,0.00 mg,56.49 g,1.0773
"Bread, toasted, oat bran",100 g,259,4.8g,0.8g,0,387.00 mg,16.1 mg,69.00 mcg,50.00 mcg,4.778 mg,0.114 mg,0.343 mg,0.443 mg,5.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,48.00 mcg,0,0.00 mcg,0.040 mg,0.0 mg,0.00 IU,0.48 mg,0.48 mg,1.3 mcg,71.00 mg,0.128 mg,3.43 mg,34.00 mg,0.760 mg,116.00 mg,123.00 mg,33.0 mcg,1.05 mg,11.40 g,0.407 g,0.489 g,0.601 g,0.257 g,3.475 g,0.434 g,0.248 g,0,0.438 g,0.805 g,0.326 g,0.196 g,0.570 g,1.159 g,0.552 g,0.328 g,0.143 g,0.356 g,0.507 g,43.70 g,4.9 g,8.46 g,0,0,0,0,0,0,4.80 g,0.766 g,1.748 g,1.861 g,0.00 mg,0.0 g,1.60 g,0.00 mg,0.00 mg,38.50 g,0.532
"Honey roll sausage, beef",100 g,182,11g,4.1g,50mg,1322.00 mg,0,4.00 mcg,0.00 mcg,4.165 mg,0.490 mg,0.182 mg,0.080 mg,0.00 IU,0.00 mcg,0,0,0,0,0,2.35 mcg,0.270 mg,0.0 mg,40.00 IU,0,0,0,9.00 mg,0.100 mg,2.20 mg,16.00 mg,0.037 mg,137.00 mg,291.00 mg,15.6 mcg,3.25 mg,18.58 g,1.228 g,1.255 g,1.650 g,0.220 g,2.679 g,1.379 g,0.538 g,0,0.761 g,1.388 g,1.516 g,0.449 g,0.696 g,1.011 g,0.758 g,0.779 g,0.152 g,0.562 g,0.853 g,2.18 g,0.0 g,0,0,0,0,0,0,0,10.50 g,4.080 g,4.820 g,0.490 g,50.00 mg,0.0 g,3.98 g,0,0,64.78 g,1.1039
"Fungi, dried, Cloud ears",100 g,284,0.7g,,0,35.00 mg,0,38.00 mcg,0.00 mcg,6.267 mg,0.481 mg,0.844 mg,0.015 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.112 mg,0.0 mg,0.00 IU,0,0,0,159.00 mg,0.183 mg,5.88 mg,83.00 mg,1.951 mg,184.00 mg,754.00 mg,43.4 mcg,1.32 mg,9.25 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.01 g,70.1 g,0,0,0,0,0,0,0,0.73 g,0,0,0,0.00 mg,0,2.21 g,0,0,14.80 g,9.5228
"CHICK-FIL-A, hash browns",100 g,301,19g,2.8g,0,454.00 mg,0,13.00 mcg,0,2.407 mg,0.520 mg,0.060 mg,0.163 mg,5.00 IU,0.00 mcg,0.00 mcg,2.00 mcg,0.00 mcg,17.00 mcg,0,0,0.230 mg,6.2 mg,0,3.00 mg,3.00 mg,0,22.00 mg,0.108 mg,0.65 mg,25.00 mg,0.163 mg,100.00 mg,456.00 mg,0.4 mcg,0.45 mg,3.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.51 g,3.2 g,0.54 g,0.21 g,0.00 g,0.33 g,0.00 g,0.00 g,0.00 g,18.50 g,2.778 g,10.700 g,3.887 g,0,0,2.16 g,0,0,45.82 g,0.8379
"Crackers, water biscuits",100 g,384,7.1g,,0,571.00 mg,9.7 mg,24.00 mcg,0.00 mcg,1.154 mg,0,0.037 mg,0.111 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,17.00 mcg,0,0.00 mcg,0.041 mg,0.0 mg,0.00 IU,0.29 mg,0.29 mg,1.8 mcg,0.00 mg,0.133 mg,0.00 mg,20.00 mg,0,100.00 mg,99.00 mg,31.3 mcg,0.65 mg,7.14 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.81 g,7.1 g,0.00 g,0,0,0,0,0,0,7.14 g,0.000 g,4.043 g,2.457 g,0.00 mg,0.0 g,1.90 g,0.00 mg,0.00 mg,11.00 g,0.9975
"McDONALD'S, Egg McMUFFIN",100 g,228,9.7g,3.6g,165mg,617.00 mg,0,79.00 mcg,0,3.102 mg,0.836 mg,0.368 mg,0.262 mg,0,0,0,0,0,0,0,0,0.145 mg,1.2 mg,0,0.59 mg,0.59 mg,0,192.00 mg,0.084 mg,2.30 mg,20.00 mg,0.235 mg,200.00 mg,173.00 mg,0,1.29 mg,13.64 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67 g,1.1 g,2.13 g,0.43 g,0.00 g,0.40 g,0.33 g,0.57 g,0.40 g,9.66 g,3.592 g,2.721 g,1.735 g,165.00 mg,0,2.45 g,0,0,52.58 g,1.2103
"Raisins, golden seedless",100 g,302,0.5g,0.2g,0,12.00 mg,11.1 mg,3.00 mcg,0.00 mcg,1.142 mg,0.140 mg,0.191 mg,0.008 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.323 mg,3.2 mg,0.00 IU,0.12 mg,0.12 mg,3.5 mcg,53.00 mg,0.363 mg,1.79 mg,35.00 mg,0.308 mg,115.00 mg,746.00 mg,0.7 mcg,0.32 mg,3.39 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.52 g,4.0 g,59.19 g,0,0,0,0,0,0,0.46 g,0.151 g,0.019 g,0.135 g,0.00 mg,0.0 g,1.66 g,0.00 mg,0.00 mg,14.97 g,0.6916
"Crackers, regular, wheat",100 g,455,16g,3.2g,0,699.00 mg,27.2 mg,38.00 mcg,2.00 mcg,4.022 mg,0.577 mg,0.146 mg,0.284 mg,7.00 IU,0.00 mcg,0.00 mcg,4.00 mcg,0.00 mcg,180.00 mcg,0,0.00 mcg,0.244 mg,0.0 mg,0.00 IU,1.55 mg,1.55 mg,14.2 mcg,92.00 mg,0.274 mg,2.64 mg,72.00 mg,1.549 mg,302.00 mg,283.00 mg,9.9 mcg,1.64 mg,7.30 g,0.351 g,0.411 g,0.486 g,0.185 g,2.550 g,0.361 g,0.190 g,0,0.306 g,0.586 g,0.190 g,0.145 g,0.396 g,0.832 g,0.391 g,0.265 g,0.105 g,0.175 g,0.386 g,70.73 g,6.9 g,15.48 g,0.42 g,0.00 g,0.79 g,0.00 g,2.42 g,11.85 g,16.40 g,3.210 g,3.470 g,8.474 g,0.00 mg,0.0 g,2.83 g,0.00 mg,0.00 mg,2.75 g,0.4256
"McDONALD'S, french fries",100 g,323,15g,2.3g,0,189.00 mg,39.8 mg,0,0,3.220 mg,0.590 mg,0.037 mg,0.180 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,27.00 mcg,0,0,0.380 mg,5.6 mg,0,1.38 mg,1.38 mg,16.0 mcg,19.00 mg,0.114 mg,0.80 mg,37.00 mg,0.249 mg,127.00 mg,596.00 mg,0.4 mcg,0.51 mg,3.41 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.58 g,3.9 g,0.21 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.21 g,15.47 g,2.271 g,7.379 g,4.727 g,0,0,1.91 g,0,0,36.63 g,1.0374
"McDONALD'S, FILET-O-FISH",100 g,282,15g,2.8g,32mg,434.00 mg,0,21.00 mcg,0,2.220 mg,0,0.130 mg,0.211 mg,0,0,0,0,0,0,0,1.08 mcg,0,0.3 mg,0,1.17 mg,1.17 mg,4.9 mcg,120.00 mg,0.066 mg,1.56 mg,27.00 mg,0.262 mg,137.00 mg,220.00 mg,25.5 mcg,0.58 mg,11.26 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.39 g,1.4 g,3.67 g,1.93 g,0.00 g,1.00 g,0.20 g,0.43 g,0.10 g,14.64 g,2.833 g,4.005 g,5.952 g,32.00 mg,0,1.95 g,0,0,45.76 g,0.8778
"McDONALD'S, Spicy Buffalo Sauce",100 g,142,15g,2.3g,0,2140.00 mg,0,0.00 mcg,0,0.406 mg,0.104 mg,0.055 mg,0.028 mg,1028.00 IU,51.00 mcg,0,617.00 mcg,0,0,0,0.00 mcg,0.236 mg,0.0 mg,0,2.71 mg,2.71 mg,0,9.00 mg,0.037 mg,0.35 mg,6.00 mg,0.046 mg,11.00 mg,100.00 mg,0,0.06 mg,0.54 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81 g,1.5 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,15.45 g,2.277 g,3.222 g,8.433 g,0.00 mg,0,6.20 g,0,0,76.00 g,0.133
