name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,price
"Chicken, boiled, feet",100 g,215,15g,3.9g,84mg,67.00 mg,13.3 mg,86.00 mcg,0.00 mcg,0.400 mg,0,0.200 mg,0.060 mg,100.00 IU,30.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.47 mcg,0.010 mg,0.0 mg,8.00 IU,0.27 mg,0.27 mg,0.2 mcg,88.00 mg,0.102 mg,0.91 mg,5.00 mg,0,83.00 mg,31.00 mg,3.6 mcg,0.69 mg,19.40 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20 g,0.0 g,0.00 g,0,0,0,0,0,0,14.60 g,3.920 g,5.500 g,2.980 g,84.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,65.80 g,0.399
"Pie, lemon, fried pies",100 g,316,16g,2.5g,0,374.00 mg,0,18.00 mcg,15.00 mcg,1.425 mg,0.110 mg,0.106 mg,0.141 mg,32.00 IU,2.00 mcg,0,0,0,0,0,0.08 mcg,0.030 mg,0.0 mg,0,0,0,0,22.00 mg,0.047 mg,1.22 mg,10.00 mg,0.224 mg,43.00 mg,65.00 mg,2.4 mcg,0.23 mg,3.00 g,0.093 g,0.112 g,0.156 g,0.059 g,0.906 g,0.098 g,0.062 g,0,0.120 g,0.211 g,0.121 g,0.052 g,0.138 g,0.314 g,0.154 g,0.089 g,0.042 g,0.090 g,0.138 g,42.60 g,2.6 g,0,0,0,0,0,0,0,16.10 g,2.457 g,7.449 g,5.376 g,0.00 mg,0,1.10 g,0,0,37.60 g,1.596
"Salami, turkey, cooked",100 g,172,9.2g,2.8g,76mg,1107.00 mg,53.1 mg,10.00 mcg,0.00 mcg,3.979 mg,1.074 mg,0.303 mg,0.426 mg,6.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.99 mcg,0.427 mg,0.0 mg,24.00 IU,0.24 mg,0.24 mg,1.3 mcg,40.00 mg,0.190 mg,1.25 mg,22.00 mg,0.020 mg,266.00 mg,216.00 mg,26.4 mcg,2.32 mg,19.20 g,0.947 g,1.067 g,1.486 g,0.159 g,2.497 g,0.759 g,0.477 g,0.000 g,0.796 g,1.219 g,1.442 g,0.443 g,0.607 g,0.637 g,0.681 g,0.681 g,0.174 g,0.605 g,0.813 g,1.55 g,0.1 g,1.12 g,0,0,0,0,0,0,9.21 g,2.783 g,3.172 g,2.466 g,76.00 mg,0.0 g,1.68 g,0.00 mg,0.00 mg,68.80 g,3.325
"McDONALD'S, Hash Brown",100 g,271,16g,2.3g,0,580.00 mg,0,12.00 mcg,0,1.733 mg,0.345 mg,0.032 mg,0.127 mg,2.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,17.00 mcg,0,0,0.180 mg,5.6 mg,0,2.14 mg,2.14 mg,0,19.00 mg,0.093 mg,0.56 mg,20.00 mg,0.153 mg,99.00 mg,341.00 mg,0.4 mcg,0.34 mg,2.48 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.56 g,2.8 g,0.54 g,0.24 g,0.00 g,0.30 g,0.00 g,0.00 g,0.00 g,16.30 g,2.327 g,8.055 g,5.065 g,0.00 mg,0,2.25 g,0,0,50.42 g,0.798
"Fish, smoked, haddock",100 g,116,1g,0.2g,77mg,763.00 mg,92.3 mg,15.00 mcg,0.00 mcg,5.073 mg,0.170 mg,0.049 mg,0.047 mg,80.00 IU,24.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.60 mcg,0.400 mg,0.0 mg,34.00 IU,0.55 mg,0.55 mg,0.1 mcg,49.00 mg,0.042 mg,1.40 mg,54.00 mg,0.030 mg,251.00 mg,415.00 mg,42.9 mcg,0.50 mg,25.23 g,1.526 g,1.509 g,2.583 g,0.270 g,3.766 g,1.211 g,0.743 g,0,1.162 g,2.050 g,2.317 g,0.747 g,0.985 g,0.892 g,1.029 g,1.106 g,0.283 g,0.852 g,1.300 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,0.96 g,0.173 g,0.157 g,0.321 g,77.00 mg,0.0 g,1.62 g,0.00 mg,0.00 mg,71.48 g,3.99
"DENNY'S, french fries",100 g,282,14g,2.5g,0,44.00 mg,0,15.00 mcg,0,2.717 mg,0.610 mg,0.048 mg,0.120 mg,0,0,0,0,0,0,0,0,0.220 mg,1.6 mg,0,0.98 mg,0.98 mg,28.8 mcg,14.00 mg,0.111 mg,0.72 mg,27.00 mg,0.179 mg,115.00 mg,492.00 mg,0.4 mcg,0.46 mg,3.41 g,0.111 g,0.182 g,0.747 g,0.030 g,0.505 g,0.101 g,0.050 g,0,0.121 g,0.192 g,0.141 g,0.040 g,0.151 g,0.111 g,0.131 g,0.111 g,0.050 g,0.091 g,0.303 g,35.20 g,3.5 g,0.85 g,0.26 g,0.00 g,0.41 g,0.00 g,0.00 g,0.18 g,14.13 g,2.534 g,3.408 g,6.548 g,0.00 mg,0,1.20 g,0,0,46.05 g,0.532
"Ground turkey, cooked",100 g,203,10g,2.7g,93mg,78.00 mg,78.2 mg,7.00 mcg,0.00 mcg,8.724 mg,1.193 mg,0.211 mg,0.077 mg,79.00 IU,24.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.34 mcg,0.633 mg,0.0 mg,8.00 IU,0.11 mg,0.11 mg,0.0 mcg,28.00 mg,0.151 mg,1.52 mg,30.00 mg,0.011 mg,254.00 mg,294.00 mg,31.1 mcg,3.11 mg,27.37 g,1.706 g,1.990 g,2.647 g,0.290 g,0,1.500 g,0.811 g,0.228 g,1.227 g,2.262 g,2.452 g,0.806 g,1.068 g,1.213 g,1.164 g,1.258 g,0.312 g,0.971 g,1.270 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,10.40 g,2.669 g,3.458 g,2.917 g,93.00 mg,0.0 g,1.26 g,0.00 mg,0.00 mg,62.07 g,1.995
"MURRAY, Vanilla Wafer",100 g,461,17g,5.7g,1mg,401.00 mg,0,88.00 mcg,0,2.600 mg,0,0.230 mg,0.420 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.00 mg,84.00 mg,0,0,4.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.90 g,1.4 g,31.50 g,0,0,0,0,0,0,17.40 g,5.700 g,3.900 g,6.600 g,1.00 mg,0,0,0,0,4.10 g,0.532
"WENDY'S, french fries",100 g,301,14g,2.8g,0,219.00 mg,33.0 mg,0,0,3.007 mg,0.630 mg,0.053 mg,0.157 mg,0,0,0,0,0,0,0,0,0.387 mg,3.8 mg,0,2.00 mg,2.00 mg,6.4 mcg,16.00 mg,0.159 mg,0.93 mg,33.00 mg,0.271 mg,126.00 mg,625.00 mg,0.8 mcg,0.54 mg,3.73 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.73 g,4.0 g,0.40 g,0.00 g,0.00 g,0.40 g,0.00 g,0.00 g,0.00 g,14.10 g,2.790 g,3.195 g,7.456 g,0,0,1.83 g,0,0,40.62 g,0.532
"Bread, toasted, wheat",100 g,313,4.3g,1g,0,601.00 mg,22.1 mg,86.00 mcg,20.00 mcg,6.250 mg,0.456 mg,0.382 mg,0.439 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,50.00 mcg,0,0.00 mcg,0.153 mg,0.2 mg,0.00 IU,0.24 mg,0.24 mg,5.7 mcg,165.00 mg,0.198 mg,4.09 mg,59.00 mg,1.377 mg,188.00 mg,223.00 mg,33.4 mcg,1.47 mg,12.96 g,0.245 g,0.311 g,0.348 g,0.154 g,2.060 g,0.262 g,0.150 g,0,0.258 g,0.461 g,0.215 g,0.105 g,0.315 g,0.682 g,0.310 g,0.299 g,0.092 g,0.165 g,0.310 g,55.77 g,4.7 g,6.42 g,0,0,0,0,0,0,4.27 g,0.989 g,1.019 g,1.720 g,0.00 mg,0.0 g,2.77 g,0.00 mg,0.00 mg,24.23 g,0.266
"Danish pastry, cheese",100 g,374,22g,6.8g,23mg,417.00 mg,20.1 mg,60.00 mcg,35.00 mcg,2.000 mg,0.304 mg,0.260 mg,0.190 mg,128.00 IU,35.00 mcg,0.00 mcg,8.00 mcg,0.00 mcg,38.00 mcg,0,0.20 mcg,0.040 mg,0.1 mg,2.00 IU,0.35 mg,0.35 mg,6.9 mcg,35.00 mg,0.089 mg,1.80 mg,15.00 mg,0.351 mg,108.00 mg,98.00 mg,18.9 mcg,0.70 mg,8.00 g,0.292 g,0.324 g,0.511 g,0.137 g,2.021 g,0.239 g,0.205 g,0,0.371 g,0.644 g,0.430 g,0.174 g,0.402 g,0.717 g,0.428 g,0.293 g,0.089 g,0.293 g,0.412 g,37.20 g,1.0 g,6.95 g,0,0,0,0,0,0,21.90 g,6.794 g,11.313 g,2.575 g,23.00 mg,0.0 g,1.50 g,0.00 mg,0.00 mg,31.40 g,1.995
Bacon and beef sticks,100 g,517,44g,16g,102mg,1420.00 mg,0,2.00 mcg,0.00 mcg,4.867 mg,1.060 mg,0.285 mg,0.600 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.90 mcg,0.500 mg,0.0 mg,0,0,0,1.6 mcg,14.00 mg,0.080 mg,1.86 mg,17.00 mg,0.038 mg,142.00 mg,385.00 mg,26.1 mcg,3.23 mg,29.10 g,1.480 g,1.516 g,2.073 g,0.262 g,3.383 g,1.641 g,0.699 g,0,0.971 g,1.732 g,1.824 g,0.593 g,0.868 g,1.188 g,0.942 g,0.959 g,0.210 g,0.710 g,1.083 g,0.80 g,0.0 g,0.80 g,0,0,0,0,0,0,44.20 g,16.000 g,21.900 g,4.300 g,102.00 mg,0.0 g,4.30 g,0.00 mg,0.00 mg,21.60 g,2.66
"Salami, pork, Italian",100 g,425,37g,13g,80mg,1890.00 mg,0,2.00 mcg,0.00 mcg,5.600 mg,1.060 mg,0.330 mg,0.930 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.80 mcg,0.550 mg,0.0 mg,0,0,0,0,10.00 mg,0.160 mg,1.52 mg,22.00 mg,0.070 mg,229.00 mg,340.00 mg,25.4 mcg,4.20 mg,21.70 g,1.336 g,1.373 g,2.095 g,0.289 g,3.829 g,1.553 g,0.614 g,0,1.084 g,1.625 g,1.878 g,0.470 g,0.940 g,1.336 g,0.903 g,1.012 g,0.253 g,0.686 g,1.120 g,1.20 g,0.0 g,1.20 g,0,0,0,0,0,0,37.00 g,13.100 g,18.200 g,3.600 g,80.00 mg,0.0 g,5.50 g,0.00 mg,0.00 mg,34.60 g,2.66
"Crackers, whole-wheat",100 g,427,14g,2.1g,0,704.00 mg,27.2 mg,28.00 mcg,0.00 mcg,4.630 mg,0.832 mg,0.021 mg,0.182 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,179.00 mcg,0,0.00 mcg,0.185 mg,0.0 mg,0.00 IU,1.41 mg,1.41 mg,27.2 mcg,36.00 mg,0.420 mg,3.34 mg,110.00 mg,2.152 mg,331.00 mg,345.00 mg,10.1 mcg,2.63 mg,10.58 g,0.393 g,0.480 g,0.543 g,0.228 g,3.065 g,0.427 g,0.238 g,0,0.364 g,0.703 g,0.271 g,0.170 g,0.480 g,1.004 g,0.461 g,0.301 g,0.141 g,0.194 g,0.465 g,69.55 g,10.3 g,1.19 g,0.00 g,0.00 g,0.32 g,0.00 g,0.00 g,0.86 g,14.13 g,2.063 g,3.248 g,6.945 g,0.00 mg,0.0 g,2.80 g,0.00 mg,0.00 mg,2.94 g,0.399
"Horseradish, prepared",100 g,48,0.7g,0.1g,0,420.00 mg,6.5 mg,57.00 mcg,0.00 mcg,0.386 mg,0.093 mg,0.024 mg,0.008 mg,2.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,10.00 mcg,0,0.00 mcg,0.073 mg,24.9 mg,0.00 IU,0.01 mg,0.01 mg,1.3 mcg,56.00 mg,0.058 mg,0.42 mg,27.00 mg,0.126 mg,31.00 mg,246.00 mg,2.8 mcg,0.83 mg,1.18 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29 g,3.3 g,7.99 g,0,0,0,0,0,0,0.69 g,0.090 g,0.130 g,0.339 g,0.00 mg,0.0 g,1.76 g,0.00 mg,0.00 mg,85.08 g,1.33
"Lebanon bologna, beef",100 g,172,10g,2.8g,55mg,1374.00 mg,62.7 mg,6.00 mcg,0.00 mcg,3.223 mg,0.320 mg,0.165 mg,0.101 mg,39.00 IU,12.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.90 mcg,0.391 mg,0.9 mg,10.00 IU,0.57 mg,0.57 mg,0.3 mcg,20.00 mg,0.073 mg,2.15 mg,20.00 mg,0.022 mg,192.00 mg,330.00 mg,15.7 mcg,3.84 mg,19.03 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44 g,0.0 g,0.00 g,0,0,0,0,0,0,10.44 g,2.794 g,4.436 g,0.258 g,55.00 mg,0.0 g,4.32 g,0.00 mg,0.00 mg,65.77 g,3.325
"TACO BELL, Taco Salad",100 g,170,9.2g,3g,19mg,363.00 mg,0,43.00 mcg,16.00 mcg,1.505 mg,0.205 mg,0.106 mg,0.150 mg,62.00 IU,3.00 mcg,0.00 mcg,37.00 mcg,0.00 mcg,0,0,0.40 mcg,0.103 mg,0,0,0.54 mg,0.54 mg,10.7 mcg,95.00 mg,0.151 mg,1.77 mg,27.00 mg,0.256 mg,103.00 mg,229.00 mg,7.2 mcg,1.17 mg,6.69 g,0.321 g,0.346 g,0.651 g,0.078 g,1.336 g,0.306 g,0.180 g,0,0.268 g,0.519 g,0.441 g,0.120 g,0.340 g,0.473 g,0.336 g,0.266 g,0.086 g,0.218 g,0.311 g,15.10 g,3.0 g,0,0.63 g,0,0.26 g,0.15 g,0.15 g,0.15 g,9.17 g,2.979 g,3.972 g,0.752 g,19.00 mg,0,1.71 g,0,0,67.32 g,1.995
"Sauce, worcestershire",100 g,78,0g,,0,980.00 mg,2.7 mg,8.00 mcg,0.00 mcg,0.700 mg,0,0.130 mg,0.070 mg,79.00 IU,5.00 mcg,1.00 mcg,43.00 mcg,3.00 mcg,48.00 mcg,0,0.00 mcg,0.000 mg,13.0 mg,0.00 IU,0.08 mg,0.08 mg,1.0 mcg,107.00 mg,0.200 mg,5.30 mg,13.00 mg,0,60.00 mg,800.00 mg,0.5 mcg,0.19 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.46 g,0.0 g,10.03 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,2.00 g,0.00 mg,0.00 mg,78.54 g,0.532
"Cabbage, cooked, napa",100 g,12,0.2g,,0,11.00 mg,0,43.00 mcg,0.00 mcg,0.466 mg,0.035 mg,0.025 mg,0.005 mg,263.00 IU,13.00 mcg,49.00 mcg,133.00 mcg,0.00 mcg,0,0,0.00 mcg,0.037 mg,3.2 mg,0.00 IU,0,0,0,29.00 mg,0.096 mg,0.74 mg,8.00 mg,0.203 mg,19.00 mg,87.00 mg,0.4 mcg,0.14 mg,1.10 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23 g,0,0,0,0,0,0,0,0,0.17 g,0,0,0,0.00 mg,0.0 g,0.17 g,0,0,96.33 g,0.266
"Peppers, dried, ancho",100 g,281,8.2g,0.8g,0,43.00 mg,0,69.00 mcg,0.00 mcg,6.403 mg,1.993 mg,2.255 mg,0.179 mg,20438.00 IU,1022.00 mcg,0,0,0,0,0,0.00 mcg,3.535 mg,2.0 mg,0.00 IU,0,0,0,61.00 mg,0.508 mg,10.93 mg,113.00 mg,1.279 mg,201.00 mg,2411.00 mg,2.9 mcg,1.42 mg,11.86 g,0.476 g,0.554 g,1.661 g,0.219 g,1.532 g,0.425 g,0.232 g,0,0.373 g,0.605 g,0.515 g,0.142 g,0.361 g,0.502 g,0.464 g,0.425 g,0.155 g,0.245 g,0.489 g,51.42 g,21.6 g,0,0,0,0,0,0,0,8.20 g,0.820 g,0.492 g,4.511 g,0.00 mg,0.0 g,5.89 g,0,0,22.63 g,1.995
"Parsley, freeze-dried",100 g,271,5.2g,,0,391.00 mg,0,194.00 mcg,0.00 mcg,10.400 mg,2.516 mg,2.260 mg,1.040 mg,63240.00 IU,0,0,0,0,0,0,0.00 mcg,1.375 mg,149.0 mg,0.00 IU,0,0,0,176.00 mg,0.459 mg,53.90 mg,372.00 mg,1.338 mg,548.00 mg,6300.00 mg,32.3 mcg,6.11 mg,31.30 g,0,0,0,0,0,0,0,0,0,0,3.115 g,0.210 g,0,0,0,0,0.516 g,0,0,42.38 g,32.7 g,0,0,0,0,0,0,0,5.20 g,0,0,0,0.00 mg,0,19.12 g,0,0,2.00 g,1.995
"Nuts, dried, pilinuts",100 g,719,80g,31g,0,3.00 mg,0,60.00 mcg,0.00 mcg,0.519 mg,0.479 mg,0.093 mg,0.913 mg,41.00 IU,2.00 mcg,0,0,0,0,0,0.00 mcg,0.115 mg,0.6 mg,0,0,0,0,145.00 mg,0.958 mg,3.53 mg,302.00 mg,2.313 mg,575.00 mg,507.00 mg,0,2.97 mg,10.80 g,0.509 g,1.516 g,1.222 g,0.189 g,2.393 g,0.650 g,0.255 g,0,0.483 g,0.890 g,0.369 g,0.395 g,0.497 g,0.471 g,0.599 g,0.407 g,0.189 g,0.381 g,0.701 g,3.98 g,0,0,0,0,0,0,0,0,79.55 g,31.184 g,37.229 g,7.605 g,0.00 mg,0,2.91 g,0,0,2.77 g,3.325
Potato salad with egg,100 g,157,9.4g,1.4g,17mg,329.00 mg,18.2 mg,13.00 mcg,0.00 mcg,0.800 mg,0.443 mg,0.017 mg,0.032 mg,163.00 IU,19.00 mcg,5.00 mcg,67.00 mcg,3.00 mcg,43.00 mcg,0,0.07 mcg,0.115 mg,0.8 mg,4.00 IU,0.68 mg,0.68 mg,14.3 mcg,15.00 mg,0.041 mg,0.50 mg,15.00 mg,0.112 mg,53.00 mg,242.00 mg,2.4 mcg,0.33 mg,1.96 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.18 g,1.3 g,4.95 g,1.31 g,0.00 g,1.54 g,0.00 g,0.39 g,1.70 g,9.40 g,1.437 g,2.000 g,4.983 g,17.00 mg,0.0 g,1.47 g,0.00 mg,0.00 mg,70.99 g,0.798
SILK Peach soy yogurt,100 g,94,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.82 g,0.6 g,14.71 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,76.41 g,0.532
SILK Plain soy yogurt,100 g,66,1.8g,0.2g,0,13.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,13.2 mg,53.00 IU,0,0,0,132.00 mg,0,0,0,0,0,0,0,0,2.64 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69 g,0.4 g,5.29 g,0,0,0,0,0,0,1.76 g,0.220 g,0,0,0.00 mg,0,1.24 g,0,0,84.67 g,0.532
"PACE, Enchilada Sauce",100 g,40,0g,,0,867.00 mg,0,0,0,0,0,0,0,667.00 IU,0,0,0,0,0,0,0,0,2.0 mg,0,0,0,0,0,0,0.60 mg,0,0,0,0,0,0,1.67 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33 g,1.7 g,6.67 g,0,0,0,0,0,0,0.00 g,0.000 g,0,0,0.00 mg,0,2.90 g,0,0,87.10 g,0.798
"Rice noodles, cooked",100 g,108,0.2g,,0,19.00 mg,1.6 mg,1.00 mcg,0.00 mcg,0.072 mg,0.011 mg,0.004 mg,0.018 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.006 mg,0.0 mg,0.00 IU,0.03 mg,0.03 mg,0.0 mcg,4.00 mg,0.038 mg,0.14 mg,3.00 mg,0.114 mg,20.00 mg,4.00 mg,4.5 mcg,0.25 mg,1.79 g,0.100 g,0.155 g,0.165 g,0.032 g,0.329 g,0.080 g,0.045 g,0,0.073 g,0.147 g,0.062 g,0.043 g,0.095 g,0.083 g,0.093 g,0.063 g,0.022 g,0.094 g,0.104 g,24.01 g,1.0 g,0.03 g,0,0,0,0,0,0,0.20 g,0.023 g,0.026 g,0.023 g,0.00 mg,0.0 g,0.18 g,0.00 mg,0.00 mg,73.82 g,0.399
"PACE, Red Taco Sauce",100 g,50,0g,,0,813.00 mg,0,0,0,0,0,0,0,625.00 IU,0,0,0,0,0,0,0,0,0.0 mg,0,0,0,0,0.00 mg,0,0.00 mg,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.50 g,0.0 g,6.25 g,0,0,0,0,0,0,0.00 g,0.000 g,0,0,0.00 mg,0,2.20 g,0,0,85.30 g,0.665
"DENNY'S, hash browns",100 g,197,9g,1.7g,0,468.00 mg,0,23.00 mcg,0,2.170 mg,0.455 mg,0.048 mg,0.007 mg,0,0,0,0,0,0,0,0,0.203 mg,0.0 mg,0,0.55 mg,0.55 mg,32.6 mcg,17.00 mg,0.066 mg,0.56 mg,26.00 mg,0.168 mg,71.00 mg,416.00 mg,0,0.29 mg,2.49 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.59 g,2.7 g,1.38 g,0.51 g,0.00 g,0.58 g,0.00 g,0.00 g,0.30 g,8.99 g,1.689 g,2.035 g,5.029 g,0,0,2.08 g,0,0,59.85 g,0.532
"DENNY'S, onion rings",100 g,385,22g,3.7g,0,780.00 mg,0,13.00 mcg,0,0.863 mg,0.380 mg,0.070 mg,0.120 mg,5.00 IU,0.00 mcg,0.00 mcg,2.00 mcg,2.00 mcg,44.00 mcg,0,0,0.089 mg,0,0,1.23 mg,1.23 mg,50.6 mcg,22.00 mg,0.088 mg,0.74 mg,20.00 mg,0.397 mg,92.00 mg,150.00 mg,5.2 mcg,0.55 mg,5.29 g,0.167 g,0.236 g,0.236 g,0.128 g,1.742 g,0.187 g,0.118 g,0.000 g,0.177 g,0.364 g,0.138 g,0.079 g,0.246 g,0.601 g,0.216 g,0.138 g,0.049 g,0.108 g,0.216 g,41.05 g,2.4 g,4.76 g,1.24 g,0.00 g,1.22 g,0.00 g,1.35 g,0.95 g,22.23 g,3.729 g,4.611 g,10.560 g,0,0,2.51 g,0,0,28.92 g,0.798
"Celery flakes, dried",100 g,319,2.1g,0.6g,0,1435.00 mg,122.3 mg,107.00 mcg,0.00 mcg,4.640 mg,0,0.500 mg,0.440 mg,1962.00 IU,98.00 mcg,0.00 mcg,1177.00 mcg,0.00 mcg,5076.00 mcg,0,0.00 mcg,0.460 mg,86.5 mg,0.00 IU,5.55 mg,5.55 mg,584.2 mcg,587.00 mg,0.571 mg,7.83 mg,196.00 mg,0,402.00 mg,4388.00 mg,15.3 mcg,2.77 mg,11.30 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.70 g,27.8 g,35.90 g,0,0,0,0,0,0,2.10 g,0.555 g,0.405 g,1.035 g,0.00 mg,0.0 g,13.90 g,0.00 mg,0.00 mg,9.00 g,1.33
"Crackers, egg, matzo",100 g,391,2.1g,0.5g,83mg,21.00 mg,0,24.00 mcg,0.00 mcg,5.080 mg,0.435 mg,0.618 mg,0.788 mg,42.00 IU,13.00 mcg,0,0,0,0,0,0.19 mcg,0.054 mg,0.1 mg,0,0,0,0,40.00 mg,0.155 mg,2.70 mg,24.00 mg,0.600 mg,148.00 mg,150.00 mg,27.7 mcg,0.73 mg,12.30 g,0.450 g,0.544 g,0.656 g,0.268 g,3.666 g,0.438 g,0.278 g,0,0.472 g,0.886 g,0.389 g,0.248 g,0.624 g,1.251 g,0.673 g,0.384 g,0.151 g,0.397 g,0.544 g,78.60 g,2.8 g,0,0,0,0,0,0,0,2.10 g,0.548 g,0.612 g,0.473 g,83.00 mg,0,0.60 g,0,0,6.40 g,0.665
"Soybean, curd cheese",100 g,151,8.1g,1.2g,0,20.00 mg,62.5 mg,22.00 mcg,0.00 mcg,0.500 mg,0.116 mg,0.140 mg,0.000 mg,42.00 IU,2.00 mcg,0.00 mcg,25.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.070 mg,0.0 mg,0.00 IU,0.60 mg,0.60 mg,4.6 mcg,188.00 mg,0.380 mg,5.60 mg,228.00 mg,0.889 mg,222.00 mg,199.00 mg,16.8 mcg,1.72 mg,12.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.90 g,0.0 g,1.60 g,0,0,0,0,0,0,8.10 g,1.172 g,1.789 g,4.572 g,0.00 mg,0.0 g,1.60 g,0.00 mg,0.00 mg,70.90 g,1.995
"Meatballs, meatless",100 g,197,9g,1.4g,0,550.00 mg,88.4 mg,78.00 mcg,0.00 mcg,2.500 mg,0.500 mg,0.213 mg,0.938 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.50 mcg,0.200 mg,0.0 mg,0.00 IU,1.73 mg,1.73 mg,0.0 mcg,25.00 mg,0.706 mg,2.16 mg,18.00 mg,0,344.00 mg,180.00 mg,0.8 mcg,1.80 mg,21.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00 g,4.6 g,1.25 g,0,0,0,0,0,0,9.00 g,1.425 g,2.188 g,4.666 g,0.00 mg,0.0 g,4.00 g,0.00 mg,0.00 mg,58.00 g,1.995
"Sweet rolls, cheese",100 g,360,18g,6.1g,76mg,357.00 mg,0,43.00 mcg,12.00 mcg,0.830 mg,0.416 mg,0.130 mg,0.150 mg,254.00 IU,0,0,0,0,0,0,0.30 mcg,0.069 mg,0.2 mg,0,0,0,0,118.00 mg,0.095 mg,0.76 mg,19.00 mg,0.210 mg,98.00 mg,137.00 mg,11.9 mcg,0.63 mg,7.10 g,0.267 g,0.313 g,0.485 g,0.112 g,1.725 g,0.221 g,0.183 g,0,0.319 g,0.555 g,0.388 g,0.142 g,0.343 g,0.600 g,0.374 g,0.262 g,0.078 g,0.256 g,0.354 g,43.70 g,1.2 g,0,0,0,0,0,0,0,18.30 g,6.059 g,9.057 g,2.032 g,76.00 mg,0,1.40 g,0,0,29.40 g,1.33
