,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,price
169,"Candies, HEATH BITES",100 g,530.0,30g,16g,19mg,245.00 mg,0,1.00 mcg,0,0.090 mg,0.010 mg,0.110 mg,0.020 mg,232.00 IU,0,0,0,0,0,0.0,0,0.000 mg,0.8 mg,0,0,0,0,86.00 mg,0.030 mg,0.78 mg,6.00 mg,0.000 mg,71.00 mg,210.00 mg,0.0 mcg,0.11 mg,3.94 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.39 g,2.0 g,60.02 g,0,0,0,0,0,0,30.38 g,15.620 g,8.800 g,2.550 g,19.00 mg,0.0 g,1.16 g,0.00 mg,0,0.86 g,6.0
170,"Chicken, raw, ground",100 g,143.0,8.1g,2.3g,86mg,60.00 mg,58.8 mg,1.00 mcg,0.00 mcg,5.575 mg,1.092 mg,0.241 mg,0.109 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.56 mcg,0.512 mg,0.0 mg,0,0.27 mg,0.27 mg,0.8 mcg,6.00 mg,0.065 mg,0.82 mg,21.00 mg,0.016 mg,178.00 mg,522.00 mg,10.2 mcg,1.47 mg,17.44 g,0.991 g,1.128 g,1.616 g,0.188 g,2.611 g,0.838 g,0.529 g,0.094 g,0.794 g,1.361 g,1.509 g,0.446 g,0.683 g,0.658 g,0.731 g,0.727 g,0.147 g,0.604 g,0.826 g,0.04 g,0.0 g,0.00 g,0,0,0,0,0,0,8.10 g,2.301 g,3.611 g,1.508 g,86.00 mg,0.0 g,1.17 g,0.00 mg,0.00 mg,73.24 g,2.5
171,"Pears, bartlett, raw",100 g,63.0,0.2g,,0,1.00 mg,5.1 mg,6.00 mcg,0,0.164 mg,0.042 mg,0.026 mg,0.012 mg,28.00 IU,1.00 mcg,2.00 mcg,14.00 mcg,3.00 mcg,51.00 mcg,0.0,0,0.026 mg,4.4 mg,0,0.12 mg,0.12 mg,3.8 mcg,9.00 mg,0.078 mg,0.19 mg,6.00 mg,0.037 mg,11.00 mg,101.00 mg,0.1 mcg,0.08 mg,0.39 g,0.015 g,0.011 g,0.111 g,0.002 g,0.032 g,0.013 g,0.002 g,0,0.012 g,0.020 g,0.018 g,0.002 g,0.011 g,0.022 g,0.016 g,0.012 g,0.002 g,0.002 g,0.018 g,15.01 g,3.1 g,9.69 g,6.76 g,0.00 g,2.50 g,0.00 g,0.00 g,0.43 g,0.16 g,0,0,0,0,0,0.30 g,0,0,84.14 g,0.7
172,"Toppings, strawberry",100 g,254.0,0.1g,,0,21.00 mg,9.8 mg,6.00 mcg,0.00 mcg,0.161 mg,0.048 mg,0.024 mg,0.011 mg,18.00 IU,1.00 mcg,0.00 mcg,9.00 mcg,0.00 mcg,9.00 mcg,0.0,0.00 mcg,0.012 mg,13.7 mg,0.00 IU,0.10 mg,0.10 mg,0.7 mcg,6.00 mg,0.032 mg,0.28 mg,4.00 mg,0.167 mg,5.00 mg,51.00 mg,0.8 mcg,0.06 mg,0.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.30 g,0.7 g,27.38 g,0,0,0,0,0,0,0.10 g,0.005 g,0.014 g,0.050 g,0.00 mg,0.0 g,0.40 g,0.00 mg,0.00 mg,33.00 g,2.5
173,"KEEBLER, Sugar Cones",100 g,375.0,3.7g,0.8g,0,326.00 mg,0,0.00 mcg,0,3.700 mg,0,0.280 mg,0.420 mg,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3.20 mg,9.00 mg,0,2.00 mg,119.00 mg,0,0,7.30 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.00 g,2.1 g,26.40 g,0,0,0,0,0,0,3.70 g,0.800 g,2.000 g,0.800 g,0.00 mg,0,0,0,0,1.00 g,5.0
174,"Seaweed, raw, wakame",100 g,45.0,0.6g,0.1g,0,872.00 mg,13.9 mg,196.00 mcg,0.00 mcg,1.600 mg,0.697 mg,0.230 mg,0.060 mg,360.00 IU,18.00 mcg,0.00 mcg,216.00 mcg,0.00 mcg,0.00 mcg,0.0,0.00 mcg,0.002 mg,3.0 mg,0.00 IU,1.00 mg,1.00 mg,5.3 mcg,150.00 mg,0.284 mg,2.18 mg,107.00 mg,1.400 mg,80.00 mg,50.00 mg,0.7 mcg,0.38 mg,3.03 g,0.136 g,0.092 g,0.179 g,0.028 g,0.199 g,0.112 g,0.015 g,0,0.087 g,0.257 g,0.112 g,0.063 g,0.112 g,0.092 g,0.078 g,0.165 g,0.035 g,0.049 g,0.209 g,9.14 g,0.5 g,0.65 g,0,0,0,0,0,0,0.64 g,0.130 g,0.058 g,0.218 g,0.00 mg,0.0 g,7.20 g,0.00 mg,0.00 mg,79.99 g,3.0
175,"Seaweed, dried, agar",100 g,306.0,0.3g,0.1g,0,102.00 mg,63.3 mg,580.00 mcg,0.00 mcg,0.202 mg,3.018 mg,0.222 mg,0.010 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.00 mcg,0.303 mg,0.0 mg,0.00 IU,5.00 mg,5.00 mg,24.4 mcg,625.00 mg,0.610 mg,21.40 mg,770.00 mg,4.300 mg,52.00 mg,1125.00 mg,7.4 mcg,5.80 mg,6.21 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.88 g,7.7 g,2.97 g,0,0,0,0,0,0,0.30 g,0.061 g,0.027 g,0.102 g,0.00 mg,0.0 g,3.93 g,0.00 mg,0.00 mg,8.68 g,45.0
176,"Bread, cracked-wheat",100 g,260.0,3.9g,0.9g,0,538.00 mg,0,61.00 mcg,22.00 mcg,3.671 mg,0.512 mg,0.240 mg,0.358 mg,0.00 IU,0.00 mcg,0,0,0,0,0.0,0.02 mcg,0.304 mg,0.0 mg,0,0,0,0,43.00 mg,0.222 mg,2.81 mg,52.00 mg,1.371 mg,153.00 mg,177.00 mg,25.3 mcg,1.24 mg,8.70 g,0.306 g,0.348 g,0.433 g,0.190 g,2.770 g,0.321 g,0.193 g,0,0.338 g,0.606 g,0.244 g,0.148 g,0.419 g,0.922 g,0.417 g,0.261 g,0.112 g,0.253 g,0.387 g,49.50 g,5.5 g,0,0,0,0,0,0,0,3.90 g,0.916 g,1.902 g,0.682 g,0.00 mg,0.0 g,2.10 g,0,0,35.80 g,2.0
177,"Amaranth leaves, raw",100 g,23.0,0.3g,0.1g,0,20.00 mg,0,85.00 mcg,0.00 mcg,0.658 mg,0.064 mg,0.158 mg,0.027 mg,2917.00 IU,146.00 mcg,0,0,0,0,0.0,0.00 mcg,0.192 mg,43.3 mg,0.00 IU,0,0,1140.0 mcg,215.00 mg,0.162 mg,2.32 mg,55.00 mg,0.885 mg,50.00 mg,611.00 mg,0.9 mcg,0.90 mg,2.46 g,0.139 g,0.121 g,0.229 g,0.029 g,0.292 g,0.132 g,0.052 g,0,0.119 g,0.195 g,0.127 g,0.036 g,0.133 g,0.121 g,0.111 g,0.099 g,0.031 g,0.080 g,0.137 g,4.02 g,0,0,0,0,0,0,0,0,0.33 g,0.091 g,0.076 g,0.147 g,0.00 mg,0,1.50 g,0,0,91.69 g,2.5
178,"Barley, raw, pearled",100 g,352.0,1.2g,0.2g,0,9.00 mg,37.8 mg,23.00 mcg,0.00 mcg,4.604 mg,0.282 mg,0.114 mg,0.191 mg,22.00 IU,1.00 mcg,0.00 mcg,13.00 mcg,0.00 mcg,160.00 mcg,0.0,0.00 mcg,0.260 mg,0.0 mg,0.00 IU,0.02 mg,0.02 mg,2.2 mcg,29.00 mg,0.420 mg,2.50 mg,79.00 mg,1.322 mg,221.00 mg,280.00 mg,37.7 mcg,2.13 mg,9.91 g,0.386 g,0.496 g,0.619 g,0.219 g,2.588 g,0.359 g,0.223 g,0,0.362 g,0.673 g,0.369 g,0.190 g,0.556 g,1.178 g,0.418 g,0.337 g,0.165 g,0.284 g,0.486 g,77.72 g,15.6 g,0.80 g,0,0,0,0,0,0,1.16 g,0.244 g,0.149 g,0.560 g,0.00 mg,0.0 g,1.11 g,0.00 mg,0.00 mg,10.09 g,2.5
