,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,price
259,"SILK Plain, soymilk",100 g,41.0,1.7g,0.2g,0,49.00 mg,0,10.00 mcg,0,0,0,0.210 mg,0,206.00 IU,0,0,0,0,0,0.0,1.23 mcg,0,0.0 mg,49.00 IU,0,0,0,123.00 mg,0,0.44 mg,16.00 mg,0,0,123.00 mg,2.3 mcg,0.25 mg,2.88 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29 g,0.4 g,2.47 g,0,0,0,0,0,0,1.65 g,0.206 g,0,0,0.00 mg,0,0.65 g,0,0,91.53 g,0.3
260,"Cabbage, raw, savoy",100 g,27.0,0.1g,,0,28.00 mg,12.3 mg,80.00 mcg,0.00 mcg,0.300 mg,0.187 mg,0.030 mg,0.070 mg,1000.00 IU,50.00 mcg,0.00 mcg,600.00 mcg,0.00 mcg,77.00 mcg,0.0,0.00 mcg,0.190 mg,31.0 mg,0.00 IU,0.17 mg,0.17 mg,68.8 mcg,35.00 mg,0.062 mg,0.40 mg,28.00 mg,0.180 mg,42.00 mg,230.00 mg,0.9 mcg,0.27 mg,2.00 g,0.070 g,0.114 g,0.197 g,0.017 g,0.445 g,0.044 g,0.041 g,0,0.101 g,0.103 g,0.094 g,0.020 g,0.064 g,0.393 g,0.116 g,0.069 g,0.020 g,0.034 g,0.085 g,6.10 g,3.1 g,2.27 g,0,0,0,0,0,0,0.10 g,0.013 g,0.007 g,0.049 g,0.00 mg,0.0 g,0.80 g,0.00 mg,0.00 mg,91.00 g,0.28
261,"Fish, raw, tilapia",100 g,96.0,1.7g,0.6g,50mg,52.00 mg,42.5 mg,24.00 mcg,0.00 mcg,3.903 mg,0.487 mg,0.063 mg,0.041 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,1.58 mcg,0.162 mg,0.0 mg,124.00 IU,0.40 mg,0.40 mg,1.4 mcg,10.00 mg,0.075 mg,0.56 mg,27.00 mg,0.037 mg,170.00 mg,302.00 mg,41.8 mcg,0.33 mg,20.08 g,1.220 g,1.277 g,2.297 g,0.220 g,3.213 g,1.043 g,0.470 g,0,0.930 g,1.603 g,1.810 g,0.593 g,0.810 g,0.757 g,0.813 g,0.950 g,0.210 g,0.680 g,0.970 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,1.70 g,0.585 g,0.498 g,0.363 g,50.00 mg,0.0 g,0.93 g,0.00 mg,0.00 mg,78.08 g,1.15
262,"Broccoli raab, raw",100 g,22.0,0.5g,0.1g,0,33.00 mg,18.3 mg,83.00 mcg,0.00 mcg,1.221 mg,0.322 mg,0.129 mg,0.162 mg,2622.00 IU,131.00 mcg,0.00 mcg,1573.00 mcg,0.00 mcg,1121.00 mcg,0.0,0.00 mcg,0.171 mg,20.2 mg,0.00 IU,1.62 mg,1.62 mg,224.0 mcg,108.00 mg,0.042 mg,2.14 mg,22.00 mg,0.395 mg,73.00 mg,196.00 mg,1.0 mcg,0.77 mg,3.17 g,0.124 g,0.172 g,0.360 g,0.039 g,0.549 g,0.123 g,0.066 g,0,0.104 g,0.170 g,0.198 g,0.048 g,0.128 g,0.131 g,0.099 g,0.106 g,0.043 g,0.075 g,0.153 g,2.85 g,2.7 g,0.38 g,0.17 g,0.00 g,0.10 g,0.00 g,0.00 g,0.11 g,0.49 g,0.050 g,0.026 g,0.130 g,0.00 mg,0.0 g,0.93 g,0.00 mg,0.00 mg,92.55 g,0.63
263,"Corn grain, yellow",100 g,365.0,4.7g,0.7g,0,35.00 mg,0,19.00 mcg,0.00 mcg,3.627 mg,0.424 mg,0.201 mg,0.385 mg,214.00 IU,11.00 mcg,63.00 mcg,97.00 mcg,0.00 mcg,1355.00 mcg,0.0,0.00 mcg,0.622 mg,0.0 mg,0.00 IU,0.49 mg,0.49 mg,0.3 mcg,7.00 mg,0.314 mg,2.71 mg,127.00 mg,0.485 mg,210.00 mg,287.00 mg,15.5 mcg,2.21 mg,9.42 g,0.705 g,0.470 g,0.655 g,0.170 g,1.768 g,0.386 g,0.287 g,0,0.337 g,1.155 g,0.265 g,0.197 g,0.463 g,0.822 g,0.447 g,0.354 g,0.067 g,0.383 g,0.477 g,74.26 g,7.3 g,0.64 g,0,0,0,0,0,0,4.74 g,0.667 g,1.251 g,2.163 g,0.00 mg,0.0 g,1.20 g,0.00 mg,0.00 mg,10.37 g,1.31
264,"Turtle, raw, green",100 g,89.0,0.5g,0.1g,50mg,68.00 mg,65.0 mg,15.00 mcg,0.00 mcg,1.100 mg,0,0.150 mg,0.120 mg,100.00 IU,30.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,1.00 mcg,0.120 mg,0.0 mg,0.00 IU,0.50 mg,0.50 mg,0.1 mcg,118.00 mg,0.250 mg,1.40 mg,20.00 mg,0,180.00 mg,230.00 mg,16.8 mcg,1.00 mg,19.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,0.50 g,0.127 g,0.088 g,0.170 g,50.00 mg,0.0 g,1.20 g,0.00 mg,0.00 mg,78.50 g,1.62
265,"Chicory roots, raw",100 g,72.0,0.2g,,0,50.00 mg,0,23.00 mcg,0.00 mcg,0.400 mg,0.323 mg,0.030 mg,0.040 mg,6.00 IU,0.00 mcg,0,0,0,0,0.0,0.00 mcg,0.241 mg,5.0 mg,0.00 IU,0,0,0,41.00 mg,0.077 mg,0.80 mg,22.00 mg,0.233 mg,61.00 mg,290.00 mg,0.7 mcg,0.33 mg,1.40 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.51 g,1.5 g,8.73 g,0,0,0,0,0,0,0.20 g,0.048 g,0.004 g,0.087 g,0.00 mg,0,0.89 g,0,0,80.00 g,0.28
266,Ice cream sandwich,100 g,237.0,8.6g,2.3g,21mg,129.00 mg,8.0 mg,34.00 mcg,27.00 mcg,1.566 mg,0.209 mg,0.146 mg,0.111 mg,286.00 IU,86.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,6.00 mcg,0.0,0.05 mcg,0.028 mg,0.0 mg,0.00 IU,0.40 mg,0.40 mg,1.3 mcg,86.00 mg,0.254 mg,0.26 mg,29.00 mg,0.381 mg,72.00 mg,115.00 mg,3.1 mcg,0.60 mg,4.29 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.14 g,0.0 g,18.57 g,0,0,0,0,0,0,8.57 g,2.317 g,2.661 g,2.272 g,21.00 mg,0.0 g,1.10 g,4.00 mg,122.00 mg,48.90 g,1.98
267,"Croutons, seasoned",100 g,465.0,18g,5.2g,7mg,1089.00 mg,14.6 mg,105.00 mcg,65.00 mcg,4.646 mg,0.835 mg,0.421 mg,0.506 mg,32.00 IU,7.00 mcg,0.00 mcg,6.00 mcg,0.00 mcg,45.00 mcg,0.0,0.14 mcg,0.083 mg,0.0 mg,0.00 IU,0.40 mg,0.40 mg,7.6 mcg,96.00 mg,0.168 mg,2.82 mg,42.00 mg,0.514 mg,140.00 mg,181.00 mg,28.8 mcg,0.94 mg,10.80 g,0.357 g,0.402 g,0.540 g,0.218 g,3.378 g,0.361 g,0.246 g,0,0.428 g,0.774 g,0.344 g,0.195 g,0.525 g,1.163 g,0.527 g,0.326 g,0.125 g,0.331 g,0.488 g,63.50 g,5.0 g,4.41 g,0,0,0,0,0,0,18.30 g,5.247 g,9.498 g,2.368 g,7.00 mg,0.0 g,3.80 g,0.00 mg,0.00 mg,3.60 g,3.31
268,"Snacks, taro chips",100 g,498.0,25g,6.4g,0,342.00 mg,44.3 mg,20.00 mcg,0.00 mcg,0.515 mg,0.668 mg,0.029 mg,0.174 mg,142.00 IU,7.00 mcg,0.00 mcg,66.00 mcg,37.00 mcg,0.00 mcg,0.0,0.00 mcg,0.438 mg,5.0 mg,0.00 IU,11.34 mg,11.34 mg,18.0 mcg,60.00 mg,0.280 mg,1.20 mg,84.00 mg,0.001 mg,131.00 mg,755.00 mg,1.8 mcg,0.38 mg,2.30 g,0.113 g,0.160 g,0.296 g,0.049 g,0.268 g,0.114 g,0.052 g,0,0.084 g,0.172 g,0.104 g,0.032 g,0.126 g,0.092 g,0.142 g,0.106 g,0.036 g,0.085 g,0.127 g,68.10 g,7.2 g,3.82 g,0,0,0,0,0,0,24.90 g,6.430 g,4.430 g,12.880 g,0.00 mg,0.0 g,2.70 g,0.00 mg,0.00 mg,2.00 g,4.47
269,"Prickly pears, raw",100 g,41.0,0.5g,0.1g,0,5.00 mg,0,6.00 mcg,0.00 mcg,0.460 mg,0,0.060 mg,0.014 mg,43.00 IU,2.00 mcg,0.00 mcg,25.00 mcg,3.00 mcg,0,0.0,0.00 mcg,0.060 mg,14.0 mg,0,0,0,0,56.00 mg,0.080 mg,0.30 mg,85.00 mg,0,24.00 mg,220.00 mg,0.6 mcg,0.12 mg,0.73 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57 g,3.6 g,0,0,0,0,0,0,0,0.51 g,0.067 g,0.075 g,0.213 g,0.00 mg,0.0 g,1.64 g,0,0,87.55 g,0.33
270,"Fish, raw, haddock",100 g,74.0,0.5g,0.1g,54mg,213.00 mg,65.0 mg,12.00 mcg,0.00 mcg,3.363 mg,0.403 mg,0.057 mg,0.020 mg,57.00 IU,17.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,1.83 mcg,0.281 mg,0.0 mg,18.00 IU,0.45 mg,0.45 mg,0.1 mcg,11.00 mg,0.021 mg,0.17 mg,21.00 mg,0.011 mg,227.00 mg,286.00 mg,25.9 mcg,0.32 mg,16.32 g,1.143 g,1.131 g,1.936 g,0.203 g,2.822 g,0.908 g,0.557 g,0,0.871 g,1.537 g,1.736 g,0.560 g,0.738 g,0.669 g,0.771 g,0.829 g,0.212 g,0.638 g,0.974 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,0.45 g,0.091 g,0.061 g,0.166 g,54.00 mg,0.0 g,1.28 g,0.00 mg,0.00 mg,83.38 g,0.91
271,"Liver cheese, pork",100 g,304.0,26g,9g,174mg,1225.00 mg,0,104.00 mcg,0.00 mcg,11.768 mg,3.536 mg,2.227 mg,0.212 mg,17490.00 IU,5252.00 mcg,0,0,0,0,0.0,24.55 mcg,0.470 mg,3.0 mg,0,0,0,0,8.00 mg,0.383 mg,10.83 mg,12.00 mg,0.200 mg,207.00 mg,226.00 mg,36.5 mcg,3.70 mg,15.20 g,0.930 g,0.828 g,1.350 g,0.328 g,1.834 g,0.935 g,0.393 g,0,0.631 g,1.331 g,1.178 g,0.342 g,0.716 g,0.716 g,0.690 g,0.651 g,0.206 g,0.466 g,0.806 g,2.10 g,0.0 g,0,0,0,0,0,0,0,25.60 g,8.960 g,12.260 g,3.420 g,174.00 mg,0,3.50 g,0,0,53.60 g,4.02
272,"Ground turkey, raw",100 g,148.0,7.7g,2g,69mg,58.00 mg,50.8 mg,7.00 mcg,0.00 mcg,6.733 mg,0.993 mg,0.156 mg,0.066 mg,66.00 IU,20.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,1.00 mcg,0.564 mg,0.0 mg,14.00 IU,0.09 mg,0.09 mg,0.0 mcg,19.00 mg,0.096 mg,1.09 mg,23.00 mg,0.008 mg,200.00 mg,237.00 mg,21.9 mcg,2.35 mg,19.66 g,1.223 g,1.426 g,1.897 g,0.208 g,3.144 g,1.075 g,0.582 g,0.163 g,0.880 g,1.622 g,1.757 g,0.578 g,0.765 g,0.869 g,0.835 g,0.901 g,0.223 g,0.696 g,0.910 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,7.66 g,2.024 g,2.635 g,2.205 g,69.00 mg,0.0 g,1.00 g,0.00 mg,0.00 mg,72.36 g,2.09
273,Jams and preserves,100 g,278.0,0.1g,,0,32.00 mg,10.2 mg,11.00 mcg,0.00 mcg,0.036 mg,0.020 mg,0.076 mg,0.016 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.00 mcg,0.020 mg,8.8 mg,0.00 IU,0.12 mg,0.12 mg,0.0 mcg,20.00 mg,0.100 mg,0.49 mg,4.00 mg,0.040 mg,19.00 mg,77.00 mg,2.0 mcg,0.06 mg,0.37 g,0.037 g,0.032 g,0.166 g,0.006 g,0.109 g,0.029 g,0.014 g,0,0.017 g,0.037 g,0.030 g,0.001 g,0.021 g,0.023 g,0.028 g,0.023 g,0.008 g,0.025 g,0.021 g,68.86 g,1.1 g,48.50 g,0,0,0,0,0,0,0.07 g,0.010 g,0.038 g,0.000 g,0.00 mg,0.0 g,0.23 g,0.00 mg,0.00 mg,30.47 g,2.71
274,"Carrots, raw, baby",100 g,35.0,0.1g,,0,78.00 mg,7.5 mg,27.00 mcg,0.00 mcg,0.556 mg,0.401 mg,0.036 mg,0.030 mg,13790.00 IU,690.00 mcg,3767.00 mcg,6391.00 mcg,0.00 mcg,358.00 mcg,0.0,0.00 mcg,0.105 mg,2.6 mg,0.00 IU,0,0,9.4 mcg,32.00 mg,0.100 mg,0.89 mg,10.00 mg,0.151 mg,28.00 mg,237.00 mg,0.9 mcg,0.17 mg,0.64 g,0.048 g,0.035 g,0.112 g,0.007 g,0.165 g,0.024 g,0.013 g,0,0.034 g,0.035 g,0.033 g,0.006 g,0.026 g,0.024 g,0.028 g,0.031 g,0.009 g,0.016 g,0.036 g,8.24 g,2.9 g,4.76 g,1.00 g,0.00 g,1.04 g,0.00 g,0.00 g,2.72 g,0.13 g,0.023 g,0.007 g,0.065 g,0.00 mg,0,0.63 g,0,0,90.35 g,0.37
275,"Oil, nutmeg butter",100 g,884.0,100g,90g,0,0.00 mg,0,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.00 mcg,0.000 mg,0.0 mg,0,0.20 mg,0.20 mg,0,0.00 mg,0,0.00 mg,0.00 mg,0,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,90.000 g,4.800 g,0.000 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g,44.35
276,"Semolina, enriched",100 g,360.0,1.1g,0.2g,0,1.00 mg,0,183.00 mcg,111.00 mcg,5.990 mg,0.580 mg,0.571 mg,0.811 mg,0.00 IU,0.00 mcg,0,0,0,0,0.0,0.00 mcg,0.103 mg,0.0 mg,0.00 IU,0.26 mg,0.26 mg,0,17.00 mg,0.189 mg,4.36 mg,47.00 mg,0.619 mg,136.00 mg,186.00 mg,89.4 mcg,1.05 mg,12.68 g,0.372 g,0.467 g,0.518 g,0.358 g,4.571 g,0.401 g,0.257 g,0,0.490 g,0.867 g,0.243 g,0.198 g,0.616 g,1.395 g,0.598 g,0.335 g,0.162 g,0.333 g,0.540 g,72.83 g,3.9 g,0,0,0,0,0,0,0,1.05 g,0.150 g,0.124 g,0.430 g,0.00 mg,0.0 g,0.77 g,0,0,12.67 g,3.25
277,"Spices, anise seed",100 g,337.0,16g,0.6g,0,16.00 mg,0,10.00 mcg,0.00 mcg,3.060 mg,0.797 mg,0.290 mg,0.340 mg,311.00 IU,16.00 mcg,0,0,0,0,0.0,0.00 mcg,0.650 mg,21.0 mg,0.00 IU,0,0,0,646.00 mg,0.910 mg,36.96 mg,170.00 mg,2.300 mg,440.00 mg,1441.00 mg,5.0 mcg,5.30 mg,17.60 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.02 g,14.6 g,0,0,0,0,0,0,0,15.90 g,0.586 g,9.780 g,3.150 g,0.00 mg,0.0 g,6.95 g,0.00 mg,0.00 mg,9.54 g,3.43
278,"Snacks, corn cakes",100 g,387.0,2.4g,0.4g,0,488.00 mg,0,19.00 mcg,0.00 mcg,5.150 mg,0.830 mg,0.050 mg,0.250 mg,242.00 IU,70.00 mcg,0.00 mcg,5.00 mcg,4.00 mcg,0.00 mcg,0.0,0.00 mcg,0.140 mg,0.0 mg,0,0,0,0.0 mcg,19.00 mg,0.420 mg,1.40 mg,114.00 mg,1.815 mg,157.00 mg,157.00 mg,9.9 mcg,2.00 mg,8.10 g,0.540 g,0.506 g,0.659 g,0.124 g,1.584 g,0.365 g,0.227 g,0,0.316 g,0.837 g,0.267 g,0.177 g,0.408 g,0.548 g,0.402 g,0.301 g,0.081 g,0.317 g,0.442 g,83.40 g,1.9 g,23.47 g,0,0,0,0,0,0,2.40 g,0.420 g,0.760 g,0.930 g,0.00 mg,0.0 g,1.50 g,0.00 mg,0.00 mg,4.60 g,3.77
279,"Catsup, low sodium",100 g,101.0,0.1g,,0,20.00 mg,12.5 mg,9.00 mcg,0.00 mcg,1.434 mg,0.047 mg,0.166 mg,0.011 mg,527.00 IU,26.00 mcg,0.00 mcg,316.00 mcg,0.00 mcg,161.00 mcg,0.0,0.00 mcg,0.158 mg,4.1 mg,0.00 IU,1.46 mg,1.46 mg,3.0 mcg,15.00 mg,0.085 mg,0.35 mg,13.00 mg,0.084 mg,26.00 mg,281.00 mg,0.7 mcg,0.17 mg,1.04 g,0.033 g,0.016 g,0.133 g,0.005 g,0.349 g,0.016 g,0.013 g,0,0.014 g,0.021 g,0.023 g,0.005 g,0.021 g,0.012 g,0.021 g,0.019 g,0.005 g,0.009 g,0.014 g,27.40 g,0.3 g,21.27 g,8.72 g,0.00 g,10.25 g,0.00 g,0.00 g,2.30 g,0.10 g,0.014 g,0.015 g,0.041 g,0.00 mg,0.0 g,2.94 g,0.00 mg,0.00 mg,68.51 g,0.77
280,"Croissants, cheese",100 g,414.0,21g,11g,57mg,361.00 mg,38.8 mg,74.00 mcg,41.00 mcg,2.160 mg,0.842 mg,0.325 mg,0.523 mg,805.00 IU,204.00 mcg,0.00 mcg,89.00 mcg,0.00 mcg,43.00 mcg,0.0,0.32 mcg,0.073 mg,0.2 mg,0.00 IU,1.44 mg,1.44 mg,10.9 mcg,53.00 mg,0.100 mg,2.15 mg,24.00 mg,0.340 mg,130.00 mg,132.00 mg,26.8 mcg,0.94 mg,9.20 g,0.338 g,0.363 g,0.527 g,0.176 g,2.585 g,0.301 g,0.212 g,0,0.407 g,0.692 g,0.371 g,0.187 g,0.455 g,0.894 g,0.478 g,0.304 g,0.109 g,0.302 g,0.453 g,47.00 g,2.6 g,11.35 g,0,0,0,0,0,0,20.90 g,10.628 g,6.509 g,2.384 g,57.00 mg,0.0 g,1.90 g,0.00 mg,0.00 mg,21.00 g,3.37
281,"Milk, fluid, sheep",100 g,108.0,7g,4.6g,27mg,44.00 mg,0,7.00 mcg,0.00 mcg,0.417 mg,0.407 mg,0.355 mg,0.065 mg,147.00 IU,44.00 mcg,0,0,0,0,0.0,0.71 mcg,0.060 mg,4.2 mg,0,0,0,0,193.00 mg,0.046 mg,0.10 mg,18.00 mg,0.018 mg,158.00 mg,137.00 mg,1.7 mcg,0.54 mg,5.98 g,0.269 g,0.198 g,0.328 g,0.035 g,1.019 g,0.041 g,0.167 g,0,0.338 g,0.587 g,0.513 g,0.155 g,0.284 g,0.580 g,0.492 g,0.268 g,0.084 g,0.281 g,0.448 g,5.36 g,0.0 g,0,0,0,0,0,0,0,7.00 g,4.603 g,1.724 g,0.308 g,27.00 mg,0,0.96 g,0,0,80.70 g,0.97
282,"Acerola juice, raw",100 g,23.0,0.3g,0.1g,0,3.00 mg,0,14.00 mcg,0.00 mcg,0.400 mg,0.205 mg,0.060 mg,0.020 mg,509.00 IU,25.00 mcg,0.00 mcg,305.00 mcg,0.00 mcg,17.00 mcg,0.0,0.00 mcg,0.004 mg,1600.0 mg,0,0.18 mg,0.18 mg,1.4 mcg,10.00 mg,0.086 mg,0.50 mg,12.00 mg,0,9.00 mg,97.00 mg,0.1 mcg,0.10 mg,0.40 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80 g,0.3 g,4.50 g,0,0,0,0,0,0,0.30 g,0.068 g,0.082 g,0.090 g,0.00 mg,0.0 g,0.20 g,0.00 mg,0.00 mg,94.30 g,0.67
283,"Jute, raw, potherb",100 g,34.0,0.3g,,0,8.00 mg,0,123.00 mcg,0.00 mcg,1.260 mg,0.072 mg,0.546 mg,0.133 mg,5559.00 IU,278.00 mcg,0,0,0,0,0.0,0.00 mcg,0.600 mg,37.0 mg,0.00 IU,0,0,0,208.00 mg,0.255 mg,4.76 mg,64.00 mg,0.123 mg,83.00 mg,559.00 mg,0.9 mcg,0.79 mg,4.65 g,0.256 g,0.248 g,0.567 g,0.040 g,0.493 g,0.214 g,0.110 g,0,0.221 g,0.388 g,0.219 g,0.065 g,0.212 g,0.246 g,0.182 g,0.164 g,0.030 g,0.147 g,0.248 g,5.80 g,0,0,0,0,0,0,0,0,0.25 g,0.038 g,0.017 g,0.120 g,0.00 mg,0,1.58 g,0,0,87.72 g,0.65
284,"Fast food, biscuit",100 g,370.0,19g,12g,2mg,979.00 mg,0.8 mg,84.00 mcg,53.00 mcg,3.713 mg,0.415 mg,0.303 mg,0.441 mg,60.00 IU,18.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.00 mcg,0.059 mg,0.0 mg,0.00 IU,0.47 mg,0.47 mg,4.5 mcg,70.00 mg,0.081 mg,2.76 mg,15.00 mg,0.388 mg,474.00 mg,131.00 mg,12.1 mcg,0.50 mg,7.08 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.82 g,2.5 g,3.88 g,0.00 g,0.00 g,0.00 g,1.81 g,0.52 g,1.55 g,18.92 g,11.803 g,2.487 g,2.199 g,2.00 mg,0.0 g,3.31 g,0.00 mg,0.00 mg,27.88 g,3.24
285,"Bagels, multigrain",100 g,241.0,1.2g,,6mg,359.00 mg,16.1 mg,81.00 mcg,48.00 mcg,4.265 mg,0.518 mg,0.253 mg,0.422 mg,2.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,80.00 mcg,0.0,0.00 mcg,0.180 mg,0.0 mg,0.00 IU,0.66 mg,0.66 mg,0.6 mcg,124.00 mg,0.236 mg,2.23 mg,85.00 mg,1.790 mg,188.00 mg,204.00 mg,26.9 mcg,1.52 mg,9.90 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.47 g,6.2 g,8.66 g,0,0,0,0,0,0,1.24 g,0.000 g,0.314 g,0.700 g,6.00 mg,0.0 g,1.99 g,0.00 mg,0.00 mg,39.40 g,2.41
286,"Beef, dried, cured",100 g,153.0,1.9g,1g,79mg,2790.00 mg,0.0 mg,10.00 mcg,0.00 mcg,5.164 mg,0.566 mg,0.163 mg,0.065 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,1.59 mcg,0.386 mg,0.0 mg,1.00 IU,0.38 mg,0.38 mg,1.3 mcg,8.00 mg,0.074 mg,2.42 mg,19.00 mg,0.017 mg,181.00 mg,235.00 mg,32.4 mcg,4.93 mg,31.10 g,1.748 g,1.859 g,2.618 g,0.371 g,4.316 g,1.750 g,0.917 g,0.302 g,1.308 g,2.287 g,2.429 g,0.749 g,1.135 g,1.370 g,1.132 g,1.148 g,0.189 g,0.916 g,1.426 g,2.76 g,0.0 g,2.70 g,0,0,0,0,0,0,1.94 g,0.950 g,0.840 g,0.070 g,79.00 mg,0.0 g,10.40 g,0.00 mg,0.00 mg,53.80 g,5.24
287,"Nuts, almond paste",100 g,458.0,28g,2.6g,0,9.00 mg,28.5 mg,73.00 mcg,0.00 mcg,1.422 mg,0.113 mg,0.414 mg,0.082 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,1.00 mcg,0.0,0.00 mcg,0.036 mg,0.1 mg,0.00 IU,13.54 mg,13.54 mg,0.0 mcg,172.00 mg,0.454 mg,1.60 mg,130.00 mg,0.856 mg,258.00 mg,314.00 mg,4.2 mcg,1.48 mg,9.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.81 g,4.8 g,36.25 g,0,0,0,0,0,0,27.74 g,2.629 g,18.012 g,5.821 g,0.00 mg,0.0 g,1.37 g,0.00 mg,0.00 mg,14.08 g,7.0
288,"Seaweed, raw, kelp",100 g,43.0,0.6g,0.2g,0,233.00 mg,12.8 mg,180.00 mcg,0.00 mcg,0.470 mg,0.642 mg,0.150 mg,0.050 mg,116.00 IU,6.00 mcg,0.00 mcg,70.00 mcg,0.00 mcg,0.00 mcg,0.0,0.00 mcg,0.002 mg,3.0 mg,0.00 IU,0.87 mg,0.87 mg,66.0 mcg,168.00 mg,0.130 mg,2.85 mg,121.00 mg,0.200 mg,42.00 mg,89.00 mg,0.7 mcg,1.23 mg,1.68 g,0.122 g,0.065 g,0.125 g,0.098 g,0.268 g,0.100 g,0.024 g,0,0.076 g,0.083 g,0.082 g,0.025 g,0.043 g,0.073 g,0.098 g,0.055 g,0.048 g,0.026 g,0.072 g,9.57 g,1.3 g,0.60 g,0,0,0,0,0,0,0.56 g,0.247 g,0.098 g,0.047 g,0.00 mg,0.0 g,6.61 g,0.00 mg,0.00 mg,81.58 g,0.5
289,"Seaweed, raw, agar",100 g,26.0,0g,,0,9.00 mg,6.0 mg,85.00 mcg,0.00 mcg,0.055 mg,0.302 mg,0.022 mg,0.005 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.00 mcg,0.032 mg,0.0 mg,0.00 IU,0.87 mg,0.87 mg,2.3 mcg,54.00 mg,0.061 mg,1.86 mg,67.00 mg,0.373 mg,5.00 mg,226.00 mg,0.7 mcg,0.58 mg,0.54 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75 g,0.5 g,0.28 g,0,0,0,0,0,0,0.03 g,0.006 g,0.003 g,0.010 g,0.00 mg,0.0 g,1.36 g,0.00 mg,0.00 mg,91.32 g,2.0
